Cod. PLU;Cod. PLU Retailer;ProductId;Brand;Model;Tipo de producto;Tipo de combustible;Capacidad por minuto;Capacidad por volumen;Calefones Tiro Natural;Capacidad;Desc. Producto;Producto
7713231665;1487922;181992574;Junkers;Caldera Junkers 30 kW GN;Caldera;Gas Natural;17;-1;False;17;CALDERA TF 30 KW  GN - CERACLASS;Junkers-CALDERA TF 30 KW  GN - CERACLASS
7736901271;4129334;181992539;Bosch;WBN600028CR;Caldera;Gas Natural;16;-1;False;16;CALDERA MURAL BOSCH 28 KW -  WBN6000;Bosch-CALDERA MURAL BOSCH 28 KW -  WBN6000
7713231610;1487884;182460762;Junkers;Caldera Junkers 24 kW GN;Caldera;Gas Natural;14;-1;False;14;CALDERA TF 24 KW  GN - CERACLASS;Junkers-CALDERA TF 24 KW  GN - CERACLASS
7713244799;1487892;181992416;Junkers;Caldera Junkers 24 kW GL;Caldera;Gas Licuado;14;-1;False;14;CALDERA TF 24 KW  CLP - CERACLASS;Junkers-CALDERA TF 24 KW  CLP - CERACLASS
7713230753;1487868;181992516;Junkers;Caldera Junkers 24 kW GN;Caldera;Gas Natural;14;-1;True;14;CALDERA TN 24 KW  GN - CERACLASS;Junkers-CALDERA TN 24 KW  GN - CERACLASS
CASM09KBTU;1281839;900000006;Bosch;CASM09KBTU;Aire Acondicionado;Eléctrico - 2;-1;-1;False;9000;AIRE ACONDICIONADO SPLIT INVERTER 9000BTU;Bosch-AIRE ACONDICIONADO SPLIT INVERTER 9000BTU
CASM12KBTU;1281846;900000005;Bosch;CASM12KBTU;Aire Acondicionado;Eléctrico - 2;-1;-1;False;12000;AIRE ACONDICIONADO SPLIT INVERTER 12000BTU;Bosch-AIRE ACONDICIONADO SPLIT INVERTER 12000BTU
7738336934;1308612;900000007;Bosch; 500 W;Convector;Eléctrico - 2;-1;-1;False;500;CONVECTOR ELÉCTRICO 500 W;Bosch-CONVECTOR ELÉCTRICO 500 W
7738336935;1308613;900000008;Bosch; 1000 W;Convector;Eléctrico - 2;-1;-1;False;1000;CONVECTOR ELÉCTRICO 1000 W;Bosch-CONVECTOR ELÉCTRICO 1000 W
7738336936;1308614;900000009;Bosch; 1500 W;Convector;Eléctrico - 2;-1;-1;False;1500;CONVECTOR ELÉCTRICO 1500 W;Bosch-CONVECTOR ELÉCTRICO 1500 W
7738336937;1308615;900000010;Bosch;2000 W;Convector;Eléctrico - 2;-1;-1;False;2000;CONVECTOR ELÉCTRICO 2000 W;Bosch-CONVECTOR ELÉCTRICO 2000 W
